month	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10
2018-01-01	7	185	385	-129	2260	98	245	1250	214	415
2018-01-02	7	108	79	-142	3280	113	149	1161	123	376
2018-01-03	8	214	80	-151	410	141	297	1315	146	397
2018-01-04	8	81	372	-160	1289	46	447	1389	200	253
2018-01-05	9	113	144	-173	1297	67	413	938	129	489
2018-01-06	9	214	326	-184	1517	111	156	1620	216	487
2018-01-07	10	141	308	-196	1488	99	101	1427	54	570
2018-01-08	10	105	276	-207	1019	155	112	1776	87	526
2018-01-09	11	208	222	-216	2118	83	268	1824	180	458
2018-01-10	11	190	378	-227	3173	206	448	1472	211	473
2018-01-11	12	48	330	-238	2310	172	421	1490	57	432
2018-01-12	13	141	111	-248	2595	175	178	1298	218	522
2018-01-13	13	143	385	-257	862	203	483	1671	199	655
2018-01-14	14	51	111	-268	1504	56	523	1752	182	552
2018-01-15	14	200	415	-280	2041	157	260	2193	113	509
2018-01-16	15	89	257	-290	1945	99	449	1759	102	566
2018-01-17	15	229	289	-301	907	135	517	1996	218	697
2018-01-18	16	88	436	-310	1423	195	398	2017	127	551
2018-01-19	16	230	172	-319	3178	179	384	1617	263	700
2018-01-20	17	39	204	-332	3175	172	371	2258	192	803
2018-01-21	17	180	174	-341	2613	153	253	2012	126	643
2018-01-22	18	225	490	-350	1520	72	304	2235	87	770
2018-01-23	18	116	160	-363	1948	226	260	2163	190	604
2018-01-24	19	149	319	-372	3791	120	316	1960	146	570
2018-01-25	19	116	532	-382	1719	177	233	2132	272	814
2018-01-26	20	236	188	-391	1552	254	431	2332	95	743
2018-01-27	20	76	168	-401	1785	147	509	2332	219	621
2018-01-28	21	97	241	-408	1172	238	545	2342	172	910
2018-01-29	21	66	238	-418	3199	225	396	2310	181	741
2018-01-30	22	136	498	-429	2117	138	460	2438	217	626
2018-01-31	22	224	447	-437	2006	115	307	2761	134	911
2018-02-01	22	127	281	-449	3516	180	344	2829	167	707
2018-02-02	23	230	542	-458	1668	267	340	2823	140	773
2018-02-03	23	86	450	-465	1798	173	561	2845	127	966
2018-02-04	24	125	258	-476	1659	154	573	2893	139	840
2018-02-05	24	240	384	-483	3093	155	375	3063	111	857
2018-02-06	25	141	310	-491	2211	178	598	3263	149	922
2018-02-07	25	232	306	-501	3464	170	348	2884	109	950
2018-02-08	26	140	339	-511	2890	84	653	2696	298	854
2018-02-09	26	63	272	-519	3167	138	592	3288	205	928
2018-02-10	26	251	246	-525	2691	152	290	2674	129	1074
2018-02-11	27	67	383	-536	1948	272	538	3327	116	971
2018-02-12	27	159	269	-544	2043	188	621	3189	196	1045
2018-02-13	28	148	343	-549	4077	164	345	3061	216	1106
2018-02-14	28	125	265	-558	1892	124	369	2859	232	839
2018-02-15	28	192	501	-566	1473	283	609	2862	291	1042
2018-02-16	29	71	506	-575	2976	175	617	2959	186	863
2018-02-17	29	82	235	-584	2219	115	497	3445	308	887
2018-02-18	30	84	553	-591	3840	166	351	3100	314	865
2018-02-19	30	204	249	-599	4015	153	656	3552	215	1037
2018-02-20	30	220	356	-605	2641	128	311	3715	144	962
2018-02-21	31	241	322	-611	3063	230	345	3747	222	1192
2018-02-22	31	173	261	-617	3398	254	652	3872	246	961
2018-02-23	31	65	337	-626	1595	157	341	3361	274	995
2018-02-24	32	224	395	-632	2665	244	688	3334	247	1024
2018-02-25	32	246	390	-641	1997	235	506	3945	231	1096
2018-02-26	32	86	561	-647	4025	240	669	3956	209	965
2018-02-27	33	199	445	-652	1925	216	387	3424	283	1139
2018-02-28	33	145	330	-660	3480	111	580	3635	132	1014
2018-03-01	33	229	295	-666	4073	182	707	3980	226	1242
2018-03-02	34	254	586	-669	2851	146	577	3988	285	1163
2018-03-03	34	264	296	-676	2050	139	451	3978	237	1162
2018-03-04	34	212	587	-681	3133	270	611	3856	159	1170
2018-03-05	35	243	502	-690	3068	148	372	4009	149	1002
2018-03-06	35	136	582	-694	3257	300	637	3768	319	1200
2018-03-07	35	89	540	-701	1761	256	624	3926	255	1207
2018-03-08	35	159	453	-705	3805	112	382	4119	225	1319
2018-03-09	36	238	652	-712	3454	209	444	3696	286	1195
2018-03-10	36	80	338	-715	4568	150	497	3721	147	1325
2018-03-11	36	202	460	-720	4195	166	538	4151	300	1257
2018-03-12	36	153	545	-725	3321	181	522	4405	196	1074
2018-03-13	37	225	359	-728	2192	268	561	3661	238	1191
2018-03-14	37	115	410	-734	4764	129	585	3781	329	1261
2018-03-15	37	147	501	-737	3045	152	465	3965	154	1227
2018-03-16	37	227	470	-744	3051	185	402	3950	155	1389
2018-03-17	37	100	547	-746	3812	210	749	3872	296	1220
2018-03-18	38	269	491	-749	4708	218	775	4303	164	1317
2018-03-19	38	113	414	-752	3351	257	429	4144	336	1361
2018-03-20	38	243	622	-758	4538	118	431	4455	221	1266
2018-03-21	38	252	322	-760	3911	274	576	4192	187	1162
2018-03-22	38	223	585	-763	3797	287	515	4232	261	1369
2018-03-23	38	229	422	-769	2840	154	620	4115	193	1200
2018-03-24	39	166	691	-772	4069	174	404	4145	170	1197
2018-03-25	39	223	468	-775	3184	262	698	4649	276	1366
2018-03-26	39	101	655	-778	3917	219	485	3898	328	1138
2018-03-27	39	107	641	-779	2463	300	721	4471	271	1373
2018-03-28	39	100	538	-780	4043	156	699	4685	322	1408
2018-03-29	39	186	602	-783	2809	280	736	3980	246	1450
2018-03-30	39	278	510	-785	2645	297	444	4245	265	1432
2018-03-31	39	103	603	-787	2746	147	603	4389	224	1411
2018-04-01	40	203	701	-787	3819	205	419	4052	277	1423
2018-04-02	40	242	595	-791	3697	186	658	4067	279	1402
2018-04-03	40	262	560	-793	2885	121	674	4432	350	1392
2018-04-04	40	238	427	-792	4851	297	531	4605	293	1228
2018-04-05	40	267	513	-795	4776	141	607	4481	165	1370
2018-04-06	40	150	390	-797	2218	178	476	4419	187	1170
2018-04-07	40	232	331	-796	3774	204	642	4261	293	1198
2018-04-08	40	131	596	-798	2095	214	655	4276	255	1476
2018-04-09	40	82	377	-798	4394	164	561	4560	247	1422
2018-04-10	40	209	609	-799	3785	242	519	4607	163	1447
2018-04-11	40	278	602	-799	3792	121	661	4225	242	1266
2018-04-12	40	105	672	-798	4352	307	425	4293	160	1369
2018-04-13	40	127	598	-800	4192	133	673	4631	189	1384
2018-04-14	40	175	443	-799	3171	184	797	4716	226	1198
2018-04-15	40	190	625	-797	2181	229	729	4788	271	1394
2018-04-16	40	113	644	-795	4009	197	744	4630	254	1305
2018-04-17	40	184	321	-796	4904	156	557	4623	316	1202
2018-04-18	40	257	460	-796	3400	243	495	4689	316	1225
2018-04-19	40	225	495	-792	4724	313	452	4620	342	1438
2018-04-20	40	80	423	-793	4371	236	480	4685	306	1171
2018-04-21	40	234	684	-791	3840	164	690	4364	172	1334
2018-04-22	40	222	555	-789	4824	186	731	3997	167	1314
2018-04-23	40	96	554	-790	4539	197	408	4023	353	1395
2018-04-24	39	232	605	-787	2756	129	444	4217	168	1241
2018-04-25	39	158	675	-784	3166	197	529	4705	214	1278
2018-04-26	39	176	476	-784	2358	182	435	4214	355	1186
2018-04-27	39	266	337	-779	2772	245	571	4160	173	1146
2018-04-28	39	132	683	-776	2574	273	575	3981	204	1142
2018-04-29	39	215	659	-774	4370	292	407	3950	302	1427
2018-04-30	39	263	632	-774	4698	241	782	4053	174	1409
2018-05-01	39	135	364	-768	2645	253	646	3929	302	1428
2018-05-02	38	189	637	-767	3082	220	760	4586	225	1246
2018-05-03	38	165	492	-762	2693	233	600	4261	184	1393
2018-05-04	38	255	498	-762	4603	168	780	4297	247	1229
2018-05-05	38	228	651	-755	3650	308	778	4298	197	1220
2018-05-06	38	249	528	-755	2360	275	456	4226	262	1252
2018-05-07	38	126	476	-750	4674	152	445	3777	254	1307
2018-05-08	37	235	326	-744	4453	170	422	4019	343	1296
2018-05-09	37	206	304	-743	3870	126	606	3751	149	1322
2018-05-10	37	96	332	-738	2726	268	652	3754	216	1264
2018-05-11	37	165	301	-733	4228	151	559	4121	334	1245
2018-05-12	37	118	324	-731	3337	237	520	4075	203	1340
2018-05-13	36	144	304	-723	4100	267	410	3762	311	1084
2018-05-14	36	86	432	-721	4264	242	760	3628	330	1244
2018-05-15	36	76	625	-716	3551	204	705	4011	326	1291
2018-05-16	36	269	535	-711	2793	256	531	3607	169	1135
2018-05-17	35	120	500	-704	4171	109	401	3753	178	1150
2018-05-18	35	225	529	-700	3712	229	745	3534	241	1288
2018-05-19	35	73	664	-695	3632	215	525	4186	229	1051
2018-05-20	35	143	333	-690	3949	290	632	4143	315	1124
2018-05-21	34	241	517	-683	2428	286	653	3530	170	1195
2018-05-22	34	179	442	-676	3198	113	361	3946	213	1229
2018-05-23	34	256	382	-670	4173	120	536	4163	261	1289
2018-05-24	33	82	653	-663	2330	200	610	3443	253	1144
2018-05-25	33	247	465	-658	3478	121	334	3788	232	1153
2018-05-26	33	75	647	-654	4585	100	335	3319	169	1188
2018-05-27	32	103	541	-644	2926	213	701	3470	135	1180
2018-05-28	32	98	482	-637	3512	176	450	3497	163	1115
2018-05-29	32	201	399	-634	2016	108	336	3489	163	1040
2018-05-30	31	251	431	-625	3803	195	641	3556	230	1107
2018-05-31	31	244	567	-620	3395	264	318	3839	128	913
2018-06-01	31	223	300	-611	3884	254	351	3798	319	1088
2018-06-02	30	157	512	-606	2896	212	641	3642	231	1030
2018-06-03	30	92	541	-597	1941	142	699	3262	171	1095
2018-06-04	30	86	580	-590	2689	262	477	3363	240	1065
2018-06-05	29	165	292	-582	3335	187	494	3618	137	1003
2018-06-06	29	76	496	-576	2305	200	460	3544	187	857
2018-06-07	28	242	354	-568	3708	270	580	3288	129	966
2018-06-08	28	162	298	-558	1420	193	387	2904	223	1124
2018-06-09	28	176	529	-550	1909	120	314	3267	269	973
2018-06-10	27	115	373	-542	4158	190	497	2768	222	1013
2018-06-11	27	224	332	-533	1773	164	332	2871	190	1038
2018-06-12	26	131	572	-528	3790	241	620	3398	129	1073
2018-06-13	26	209	256	-517	3156	189	263	2754	190	806
2018-06-14	26	207	280	-508	3798	156	640	2625	115	766
2018-06-15	25	229	502	-502	2900	112	521	2996	235	841
2018-06-16	25	159	506	-491	3127	164	260	2763	121	1018
2018-06-17	24	66	268	-481	2664	142	307	2907	135	911
2018-06-18	24	243	365	-475	1758	164	457	2400	231	917
2018-06-19	23	168	421	-463	3458	161	432	3048	126	690
2018-06-20	23	119	445	-455	2008	250	332	2590	284	975
2018-06-21	22	119	363	-446	3093	84	517	2612	242	831
2018-06-22	22	99	316	-439	3961	128	233	2392	110	665
2018-06-23	22	166	303	-429	3983	182	278	2546	127	651
2018-06-24	21	167	472	-420	2916	127	452	2562	272	802
2018-06-25	21	188	344	-410	2564	135	573	2333	216	826
2018-06-26	20	76	247	-401	2548	165	399	2354	226	612
2018-06-27	20	211	236	-392	2730	130	577	2336	142	750
2018-06-28	19	97	228	-379	2581	67	436	2520	192	842
2018-06-29	19	81	336	-370	2170	248	228	1880	254	702
2018-06-30	18	64	431	-361	1575	117	474	2318	234	746